globalsourcespeed,globaltrajectoryspeed,sourcespeed1,trajectoryspeed1,radius1,ratio1,source_angle1,trajectory_angle1,sourcespeed2,trajectoryspeed2,radius2,ratio2,source_angle2,trajectory_angle2,sourcespeed3,trajectoryspeed3,radius3,ratio3,source_angle3,trajectory_angle3,sourcespeed4,trajectoryspeed4,radius4,ratio4,source_angle4,trajectory_angle4,sourcespeed5,trajectoryspeed5,radius5,ratio5,source_angle5,trajectory_angle5
0.078,0.012,2,8,0.5,1,0,0,3,7,0.28,0,0,0,4,6,0.74,0.81,0,0,5,5,0,0.2,0,0,6,4,1,0.5,0,0
0.088,0.018,9,2,0,0.12,0,0,8,3,0.08,0,0,0,9,2,0.16,0.14,0,0,8,3,0.22,0,0,0,9,2,0.35,0.16,0,0
